Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,LineCode5,Lat,Lon,Address.Street,Address.City,Address.State,Address.Zip,Line,Order
K05,East Falls Church,,,OR,SV,---,---,---,38.885841,-77.157177,2001 N. Sycamore St.,Arlington,VA,22205,Orange,4
K04,Ballston-MU,,,OR,SV,---,---,---,38.882071,-77.111845,4230 Fairfax Drive,Arlington,VA,22201,Orange,5
K03,Virginia Square-GMU,,,OR,SV,---,---,---,38.88331,-77.104267,3600 Fairfax Drive,Arlington,VA,22201,Orange,6
K02,Clarendon,,,OR,SV,---,---,---,38.886373,-77.096963,3100 Wilson Blvd,Arlington,VA,22201,Orange,7
K01,Court House,,,OR,SV,---,---,---,38.891499,-77.08391,2100 Wilson Blvd,Arlington,VA,22201,Orange,8
C05,Rosslyn,,,BL,OR,SV,---,---,38.896595,-77.07146,1850 N. Moore Street,Arlington,VA,22209,Orange,9
C04,Foggy Bottom-GWU,,,BL,OR,SV,---,---,38.900599,-77.050273,2301 I St. NW,Washington,DC,20037,Orange,10
C03,Farragut West,,,BL,OR,SV,---,---,38.901311,-77.03981,900 18th St. NW,Washington,DC,20006,Orange,11
C02,McPherson Square,,,BL,OR,SV,---,---,38.901316,-77.033652,1400 I St. NW,Washington,DC,20005,Orange,12
C01,Metro Center,A01,,OR,BL,RD,SV,---,38.898303,-77.028099,607 13th St. NW,Washington,DC,20005,Orange,13
D01,Federal Triangle,,,BL,OR,SV,---,---,38.893757,-77.028218,302 12th St. NW,Washington,DC,20004,Orange,14
D02,Smithsonian,,,BL,OR,SV,---,---,38.888022,-77.028232,1200 Independence Avenue SW,Washington,DC,20004,Orange,15
D03,L'Enfant Plaza,F03,,OR,BL,GR,SV,YL,38.884775,-77.021964,600 Maryland Avenue SW,Washington,DC,20024,Orange,16
D04,Federal Center SW,,,BL,OR,SV,---,---,38.884958,-77.01586,401 3rd Street SW,Washington,DC,20024,Orange,17
D05,Capitol South,,,BL,OR,SV,---,---,38.884968,-77.005137,355 First Street SE,Washington,DC,20003,Orange,18
D06,Eastern Market,,,BL,OR,SV,---,---,38.884124,-76.995334,701 Pennsylvania Avenue SE,Washington,DC,20003,Orange,19
D07,Potomac Ave,,,BL,OR,SV,---,---,38.880841,-76.985721,700 14th Street SE,Washington,DC,20003,Orange,20
D08,Stadium-Armory,,,BL,OR,SV,---,---,38.88594,-76.977485,192 19th St. SE,Washington,DC,20003,Orange,21
D09,Minnesota Ave,,,OR,---,---,---,---,38.898284,-76.948042,4000 Minnesota Avenue NE,Washington,DC,20019,Orange,22
D10,Deanwood,,,OR,---,---,---,---,38.907734,-76.936177,4720 Minnesota Avenue NE,Washington,DC,20019,Orange,23
D11,Cheverly,,,OR,---,---,---,---,38.91652,-76.915427,5501 Columbia Park,Cheverly,MD,20785,Orange,24
D12,Landover,,,OR,---,---,---,---,38.934411,-76.890988,3000 Pennsy Drive,Hyattsville,MD,20785,Orange,25
D13,New Carrollton,,,OR,---,---,---,---,38.947674,-76.872144,4700 Garden City Drive,New Carrollton,MD,20784,Orange,26
A15,Shady Grove,,,RD,---,---,---,---,39.119819,-77.164921,15903 Somerville Drive,Rockville,MD,20855,Red,1
A14,Rockville,,,RD,---,---,---,---,39.084215,-77.146424,251 Hungerford Drive,Rockville,MD,20850,Red,2
A13,Twinbrook,,,RD,---,---,---,---,39.062359,-77.121113,1600 Chapman Avenue,Rockville,MD,20852,Red,3
A12,White Flint,,,RD,---,---,---,---,39.048043,-77.113131,5500 Marinelli Road,Rockville,MD,20852,Red,4
A11,Grosvenor-Strathmore,,,RD,---,---,---,---,39.029158,-77.10415,10300 Rockville Pike,Bethesda,MD,20852,Red,5
A10,Medical Center,,,RD,---,---,---,---,38.999947,-77.097253,8810 Rockville Pike,Bethesda,MD,20814,Red,6
A09,Bethesda,,,RD,---,---,---,---,38.984282,-77.094431,7450 Wisconsin Avenue,Bethesda,MD,20814,Red,7
A08,Friendship Heights,,,RD,---,---,---,---,38.960744,-77.085969,5337 Wisconsin Avenue NW,Washington,DC,20015,Red,8
A07,Tenleytown-AU,,,RD,---,---,---,---,38.947808,-77.079615,4501 Wisconsin Avenue NW,Washington,DC,20016,Red,9
A06,Van Ness-UDC,,,RD,---,---,---,---,38.94362,-77.063511,4200 Connecticut Avenue NW,Washington,DC,20008,Red,10
A05,Cleveland Park,,,RD,---,---,---,---,38.934703,-77.058226,3599 Connecticut Avenue NW,Washington,DC,20008,Red,11
A04,Woodley Park-Zoo/Adams Morgan,,,RD,---,---,---,---,38.924999,-77.052648,"2700 Connecticut Ave., NW",Washington,DC,20008,Red,12
A03,Dupont Circle,,,RD,---,---,---,---,38.909499,-77.04362,1525 20th St. NW,Washington,DC,20036,Red,13
A02,Farragut North,,,RD,---,---,---,---,38.903192,-77.039766,1001 Connecticut Avenue NW,Washington,DC,20036,Red,14
A01,Metro Center,C01,,RD,BL,OR,SV,---,38.898303,-77.028099,607 13th St. NW,Washington,DC,20005,Red,15
B01,Gallery Pl-Chinatown,F01,,RD,GR,YL,---,---,38.89834,-77.021851,630 H St. NW,Washington,DC,20001,Red,16
B02,Judiciary Square,,,RD,---,---,---,---,38.896084,-77.016643,450 F Street NW,Washington,DC,20001,Red,17
B03,Union Station,,,RD,---,---,---,---,38.897723,-77.006745,701 First St. NE,Washington,DC,20002,Red,18
B35,NoMa-Gallaudet U,,,RD,---,---,---,---,38.907407,-77.002961,200 Florida Ave N.E.,Washington,DC,20002,Red,19
B04,Rhode Island Ave-Brentwood,,,RD,---,---,---,---,38.920741,-76.995984,919 Rhode Island Avenue NE,Washington,DC,20018,Red,20
B05,Brookland-CUA,,,RD,---,---,---,---,38.933234,-76.994544,801 Michigan Avenue NE,Washington,DC,20017,Red,21
B06,Fort Totten,E06,,RD,GR,YL,---,---,38.951777,-77.002174,550 Galloway Street NE,Washington,DC,20011,Red,22
B07,Takoma,,,RD,---,---,---,---,38.975532,-77.017834,327 Cedar Street NW,Washington,DC,20012,Red,23
B08,Silver Spring,,,RD,---,---,---,---,38.993841,-77.031321,8400 Colesville Road,Silver Spring,MD,20910,Red,24
