FIPS,County/Equivalent,Federal District Court,Public Attorney Search,State
12031,"Duval County, FL",Middle District of Florida,Yes,Florida
12033,"Escambia County, FL",Northern District of Florida,No,Florida
12035,"Flagler County, FL",Middle District of Florida,Yes,Florida
12037,"Franklin County, FL",Northern District of Florida,No,Florida
12039,"Gadsden County, FL",Northern District of Florida,No,Florida
12041,"Gilchrist County, FL",Northern District of Florida,No,Florida
12043,"Glades County, FL",Middle District of Florida,Yes,Florida
12045,"Gulf County, FL",Northern District of Florida,No,Florida
12047,"Hamilton County, FL",Middle District of Florida,Yes,Florida
12049,"Hardee County, FL",Middle District of Florida,Yes,Florida
12051,"Hendry County, FL",Middle District of Florida,Yes,Florida
12053,"Hernando County, FL",Middle District of Florida,Yes,Florida
12055,"Highlands County, FL",Southern District of Florida,Yes,Florida
12057,"Hillsborough County, FL",Middle District of Florida,Yes,Florida
12059,"Holmes County, FL",Northern District of Florida,No,Florida
12061,"Indian River County, FL",Southern District of Florida,Yes,Florida
12063,"Jackson County, FL",Northern District of Florida,No,Florida
12065,"Jefferson County, FL",Northern District of Florida,No,Florida
12067,"Lafayette County, FL",Northern District of Florida,No,Florida
12069,"Lake County, FL",Middle District of Florida	,Yes,Florida
12071,"Lee County, FL",Middle District of Florida,Yes,Florida
12073,"Leon County, FL",Northern District of Florida,No,Florida
12075,"Levy County, FL",Northern District of Florida,No,Florida
12077,"Liberty County, FL",Northern District of Florida,No,Florida
12079,"Madison County, FL",Northern District of Florida,No,Florida
12081,"Manatee County, FL",Middle District of Florida,Yes,Florida
12083,"Marion County, FL",Middle District of Florida,Yes,Florida
12085,"Martin County, FL",Southern District of Florida,Yes,Florida
12086,"Miami-Dade County, FL",Southern District of Florida,Yes,Florida
12087,"Monroe County, FL",Southern District of Florida,Yes,Florida
12089,"Nassau County, FL",Middle District of Florida,Yes,Florida
12091,"Okaloosa County, FL",Northern District of Florida,No,Florida
12093,"Okeechobee County, FL",Southern District of Florida,Yes,Florida
12095,"Orange County, FL",Middle District of Florida,Yes,Florida
12097,"Osceola County, FL",Middle District of Florida,Yes,Florida
12099,"Palm Beach County, FL",Southern District of Florida,Yes,Florida
12101,"Pasco County, FL",Middle District of Florida,Yes,Florida
12103,"Pinellas County, FL",Middle District of Florida,Yes,Florida
12105,"Polk County, FL",Middle District of Florida,Yes,Florida
12107,"Putnam County, FL",Middle District of Florida,Yes,Florida
12109,"St. Johns County, FL",Middle District of Florida,Yes,Florida
12111,"St. Lucie County, FL",Southern District of Florida,Yes,Florida
12113,"Santa Rosa County, FL",Northern District of Florida,No,Florida
12115,"Sarasota County, FL",Middle District of Florida,Yes,Florida
12117,"Seminole County, FL",Middle District of Florida,Yes,Florida
12119,"Sumter County, FL",Middle District of Florida,Yes,Florida
12121,"Suwannee County, FL",Middle District of Florida,Yes,Florida
12123,"Taylor County, FL",Northern District of Florida,No,Florida
12125,"Union County, FL",Middle District of Florida,Yes,Florida
12127,"Volusia County, FL",Middle District of Florida,Yes,Florida
12129,"Wakulla County, FL",Northern District of Florida,No,Florida
12131,"Walton County, FL",Northern District of Florida,No,Florida
12133,"Washington County, FL",Northern District of Florida,No,Florida
13001,"Appling County, GA",Southern District of Georgia,No,Georgia
13003,"Atkinson County, GA",Southern District of Georgia,No,Georgia
13005,"Bacon County, GA",Southern District of Georgia,No,Georgia
13007,"Baker County, GA",Middle District of Georgia,No,Georgia
13009,"Baldwin County, GA",Middle District of Georgia,No,Georgia
13011,"Banks County, GA",Northern District of Georgia,No,Georgia
13013,"Barrow County, GA",Northern District of Georgia,No,Georgia
13015,"Bartow County, GA",Northern District of Georgia,No,Georgia
13017,"Ben Hill County, GA",Middle District of Georgia,No,Georgia
13019,"Berrien County, GA",Middle District of Georgia,No,Georgia
13021,"Bibb County, GA",Middle District of Georgia,No,Georgia
13023,"Bleckley County, GA",Middle District of Georgia,No,Georgia
13025,"Brantley County, GA",Southern District of Georgia,No,Georgia
13027,"Brooks County, GA",Middle District of Georgia,No,Georgia
13029,"Bryan County, GA",Southern District of Georgia,No,Georgia
13031,"Bulloch County, GA",Southern District of Georgia,No,Georgia
13033,"Burke County, GA",Southern District of Georgia,No,Georgia
13035,"Butts County, GA",Middle District of Georgia,No,Georgia
13037,"Calhoun County, GA",Middle District of Georgia,No,Georgia
13039,"Camden County, GA",Southern District of Georgia,No,Georgia
13043,"Candler County, GA",Southern District of Georgia,No,Georgia
13045,"Carroll County, GA",Northern District of Georgia,No,Georgia
13047,"Catoosa County, GA",Northern District of Georgia,No,Georgia
13049,"Charlton County, GA",Southern District of Georgia,No,Georgia
13051,"Chatham County, GA",Southern District of Georgia,No,Georgia
13053,"Chattahoochee County, GA",Middle District of Georgia,No,Georgia
13055,"Chattooga County, GA",Northern District of Georgia,No,Georgia
13057,"Cherokee County, GA",Northern District of Georgia,No,Georgia
13059,"Clarke County, GA",Middle District of Georgia,No,Georgia
13061,"Clay County, GA",Middle District of Georgia,No,Georgia
13063,"Clayton County, GA",Northern District of Georgia,No,Georgia
13065,"Clinch County, GA",Middle District of Georgia,No,Georgia
13067,"Cobb County, GA",Northern District of Georgia,No,Georgia
13069,"Coffee County, GA",Southern District of Georgia,No,Georgia
13071,"Colquitt County, GA",Middle District of Georgia,No,Georgia
13073,"Columbia County, GA",Southern District of Georgia,No,Georgia
13075,"Cook County, GA",Middle District of Georgia,No,Georgia
13077,"Coweta County, GA",Northern District of Georgia,No,Georgia
13079,"Crawford County, GA",Middle District of Georgia,No,Georgia
13081,"Crisp County, GA",Middle District of Georgia,No,Georgia
13083,"Dade County, GA",Northern District of Georgia,No,Georgia
13085,"Dawson County, GA",Northern District of Georgia,No,Georgia
13087,"Decatur County, GA",Middle District of Georgia,No,Georgia
13089,"DeKalb County, GA",Northern District of Georgia,No,Georgia
13091,"Dodge County, GA",Southern District of Georgia,No,Georgia
13093,"Dooly County, GA",Middle District of Georgia,No,Georgia
13095,"Dougherty County, GA",Middle District of Georgia,No,Georgia
13097,"Douglas County, GA",Northern District of Georgia,No,Georgia
13099,"Early County, GA",Middle District of Georgia,No,Georgia
